weekday,hour,avg_fare
Saturday,12,16.159541107346577
Saturday,20,17.89875201463608
Sunday,8,20.08188225762894
Sunday,13,18.114708672086714
Sunday,19,18.910253348561938
Tuesday,5,24.18590050835148
Tuesday,9,17.6372666087712
Tuesday,14,18.470990426663526
Tuesday,17,16.737049717881277
Wednesday,12,17.96390275135375
Wednesday,20,17.06972739100176
Thursday,21,17.711950777400443
Friday,23,17.175639677855653
Saturday,2,14.70227538223674
Sunday,0,17.040654468684064
Sunday,11,16.52806126144772
Sunday,16,19.55097461201084
Monday,4,29.242951105937124
Monday,23,24.550719290051394
Tuesday,1,27.36381291028446
Wednesday,2,19.0280452254461
Friday,4,26.25438872970393
Saturday,5,27.698099722991664
Saturday,9,16.582055108163587
Saturday,14,17.488472530840536
Saturday,17,17.942133830255788
Monday,7,18.917071839951493
Tuesday,12,17.84902857142859
Tuesday,20,16.66071315605582
Wednesday,5,23.70165090723229
Wednesday,9,17.35831332630388
Wednesday,14,18.71094547224927
Wednesday,17,17.39717185652346
Thursday,10,18.00313031161482
Thursday,18,17.149273934588816
Friday,7,19.46533101621976
Saturday,3,15.511172433514439
Saturday,6,24.120236497283464
Sunday,7,25.885171634121267
Wednesday,3,18.012512541806007
Wednesday,6,20.068119903525904
Thursday,1,18.643953252032524
Saturday,7,23.002431813449935
Sunday,3,15.787619418772953
Sunday,6,26.824266951740988
Monday,5,27.397300655850884
Monday,9,17.652054754020824
Monday,14,19.33119476783384
Monday,17,17.525332152347207
Wednesday,7,18.447526662484325
Friday,5,25.903406956080246
Friday,9,17.461573975988674
Friday,14,19.34040118780674
Friday,17,17.629271660991275
Saturday,10,15.861508067365452
Saturday,18,17.188308661732357
Sunday,15,19.645901976417314
Sunday,22,22.56445103659761
Tuesday,21,16.875817368666976
Wednesday,10,17.83678233572309
Wednesday,18,16.226003701794653
Thursday,5,24.804196935300794
Thursday,9,17.333153719612543
Thursday,14,19.140726265348857
Thursday,17,17.90612735247725
Friday,22,17.315057357949495
Saturday,1,14.856791415077419
Monday,15,19.351656256550005
Monday,22,21.07300594795545
Tuesday,2,25.26782653061226
Wednesday,1,19.56184095178458
Thursday,3,23.232532573289905
Thursday,6,20.79724809483488
Friday,15,19.092246298405495
Friday,21,17.55392890733957
Saturday,0,16.134507126712474
Saturday,11,15.81021268330584
Saturday,16,18.246066771695823
Sunday,2,14.95519849035506
Monday,21,19.35407506846376
Wednesday,0,19.51693227439343
Wednesday,11,17.49680221811464
Wednesday,16,18.738285499624332
Friday,20,17.664769942735372
Monday,12,62.78927844155839
Monday,20,18.473313839119573
Tuesday,7,17.83683204134365
Thursday,0,20.964830271858947
Thursday,11,18.04587056149636
Thursday,16,19.334661251765674
Friday,12,17.968296028088616
Sunday,5,28.32048054919909
Sunday,9,18.063419527804214
Sunday,14,18.645722121379546
Sunday,17,18.278349559573474
Monday,3,23.786121883656502
Monday,6,21.227804878048797
Tuesday,8,17.501882338501815
Tuesday,13,17.989388661652754
Tuesday,19,16.15899610668416
Thursday,15,19.31110049191849
Thursday,22,18.354623794968177
Friday,3,19.92765543426672
Friday,6,22.067187792329268
Saturday,8,18.84463151207114
Saturday,13,16.919971460526817
Saturday,19,17.435299816438917
Sunday,12,17.197490187129176
Sunday,20,19.71360558444495
Wednesday,8,17.668042515838476
Wednesday,13,18.448599120492528
Wednesday,19,16.89483477174648
Thursday,4,28.05973255055447
Thursday,23,18.944696683990156
Friday,18,16.77914485510103
Sunday,1,15.508945041992074
Monday,10,17.804573733387503
Monday,18,16.606600053699527
Tuesday,0,26.32154862218173
Tuesday,11,17.439557779366226
Tuesday,16,18.149307559767383
Thursday,7,18.38212848449156
Friday,10,17.89831325301203
Saturday,15,17.950076363117358
Saturday,22,17.450749017770253
Sunday,10,16.78128203529342
Sunday,18,17.667844395943003
Monday,1,24.661386389201347
Tuesday,4,28.04683044315991
Tuesday,23,19.73442851754057
Wednesday,15,18.380770546403788
Wednesday,22,17.622683407364942
Friday,1,19.147929595354743
Saturday,4,19.209071545603503
Saturday,23,17.870891160711384
Sunday,21,20.356862814188403
Monday,2,24.09525316455696
Tuesday,15,18.36320059967819
Tuesday,22,17.512082622055313
Wednesday,4,21.226072132995224
Wednesday,23,19.988505641098453
Thursday,8,17.579150588648762
Thursday,13,18.812077297866725
Thursday,19,16.817164246256905
Friday,2,17.157058629776017
Friday,19,17.01275767900334
Monday,8,18.006990131578995
Monday,13,17.682752409697216
Monday,19,17.75977619434743
Tuesday,3,24.99690442225392
Tuesday,6,19.443825273422068
Thursday,2,17.448919734459864
Friday,8,17.409180685758308
Friday,13,18.944292984869346
Saturday,21,17.58934538981271
Sunday,4,18.955767668562128
Sunday,23,24.232224111867016
Monday,0,25.596441779832418
Monday,11,17.809515644624046
Monday,16,19.30327868150679
Tuesday,10,17.91146839080464
Tuesday,18,15.586245138908302
Wednesday,21,17.072159623096542
Thursday,12,18.36440609067106
Thursday,20,17.463027392775295
Friday,0,20.05529637409807
Friday,11,18.054044546789978
Friday,16,19.132259752888753
